name,category,hasVariants,price,costPrice,stock,minStock,barcode,unit,variants
COLGATE GRF,Health,true,,,,2,,pcs,"[{""name"": ""20 GMS - PF HP NP (12*6)"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_45-1"", ""unit"": ""pcs""}, {""name"": ""40GM NP (96)"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_70-1"", ""unit"": ""pcs""}, {""name"": ""100 GM X 72 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_220-1"", ""unit"": ""pcs""}, {""name"": ""75 GMS X 72 BP NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_180-1"", ""unit"": ""pcs""}, {""name"": ""150GM + 15% EXTRA X 72 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_320-1"", ""unit"": ""pcs""}, {""name"": ""200 GMS X 48 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_400-1"", ""unit"": ""pcs""}]"
COLGATE HERBAL,Health,true,,,,2,,pcs,"[{""name"": ""100 GMS X 72 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_210-1"", ""unit"": ""pcs""}, {""name"": ""45 GMS X 96 HP NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_70-1"", ""unit"": ""pcs""}, {""name"": ""75 GMS X 72 BP NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_170-1"", ""unit"": ""pcs""}, {""name"": ""150 GMS X 48 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_305-1"", ""unit"": ""pcs""}, {""name"": ""200 GMS X 48 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_380-1"", ""unit"": ""pcs""}, {""name"": ""200 GMS X 48 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_380-1"", ""unit"": ""pcs""}]"
COLGATE MISVAK,Health,true,,,,2,,pcs,"[{""name"": ""22G X 6 HP (120 PIECES)"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_45-1"", ""unit"": ""pcs""}, {""name"": ""40G HP PF (96PCS)"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_70-1"", ""unit"": ""pcs""}]"
COLGATE SPARKLE,Health,true,,,,2,,pcs,"[{""name"": ""130 GMS X 48 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_170-1"", ""unit"": ""pcs""}, {""name"": ""200 GMS X 48 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_230-1"", ""unit"": ""pcs""}, {""name"": ""200 GMS X 48 NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_230-1"", ""unit"": ""pcs""}, {""name"": ""35 GMS X 96 HP NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2511_50-1"", ""unit"": ""pcs""}, {""name"": ""70 GMS X 72 BP NP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_150"", ""unit"": ""pcs""}]"
MAXFRESH UF,Health,true,,,,2,,pcs,"[{""name"": ""RED 75 GMS X 72"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2511_210-1"", ""unit"": ""pcs""}, {""name"": ""BLUE 75 GMS X 72"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_210-1"", ""unit"": ""pcs""}, {""name"": ""GREEN 75 GMS X 72"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_210-1"", ""unit"": ""pcs""}, {""name"": ""RED 25 GMS X 72 HP"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_75-1"", ""unit"": ""pcs""}, {""name"": ""RED 125 GMS X 72"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_300-1"", ""unit"": ""pcs""}, {""name"": ""BLUE 125 GMS X 72"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2508_300-1"", ""unit"": ""pcs""}]"
PALMOLIVE NATURALS,Health,true,,,,2,,pcs,"[{""name"": ""- W 98G (108pcs)"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": """", ""unit"": ""pcs""}]"
PONSH BRILLIANT SHINE,Health,true,,,,2,,pcs,"[{""name"": ""180 ML"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2507_370-1"", ""unit"": ""pcs""}]"
PONSH BRILLIANT SHINE 180,Health,true,,,,2,,pcs,"[{""name"": ""ML"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2507_370-1"", ""unit"": ""pcs""}]"
PONSH HEALTHY & SMOOTH,Health,true,,,,2,,pcs,"[{""name"": ""200 ML X 24"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_400-1"", ""unit"": ""pcs""}, {""name"": ""375 ML"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_700-1"", ""unit"": ""pcs""}, {""name"": ""680 ML"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_1150-1"", ""unit"": ""pcs""}, {""name"": ""680 ML"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2510_1150-1"", ""unit"": ""pcs""}]"
PONSH INTENSIVE MOISTURE 200,Health,true,,,,2,,pcs,"[{""name"": ""ML X 24"", ""price"": """", ""costPrice"": """", ""stock"": """", ""minStock"": ""2"", ""barcode"": ""2509_400-1"", ""unit"": ""pcs""}]"
